,nn_1,nn_2,nn_3
0,-40.65581053792778,-35.555723654046616,-16.782579849108245
1,-0.932150950271192,-1.2210226342321002,-2.6668970112346786
2,-0.6364306072163832,-2.885484394577962,-2.6595558850210645
3,-0.49679549125479916,-0.8214466065730277,-2.4730810970752413
4,-1.2591948438496114,-0.694143396528037,-42.55071482177128
5,-1.048791782246754,-0.5037415667043956,-0.44319038485112805
6,-0.6901736129126292,-0.6529803672321679,-5.42436667987687
7,-0.8037466454784667,-170.51065049464728,-2.5925810600243997
8,-0.38800820597344043,-13.298250217865618,-0.4327877238169682
9,-0.5625179087381083,-0.5754828760991144,-4.696965041883254
