,nn_1,nn_2,nn_3
0,-0.5203656533449734,-0.3067738651224019,-0.5686673089056338
1,-0.7339486277834633,-0.9254820473401604,-10.442168707277979
2,-0.5362864475429736,-0.6062306566571345,-0.3812688978853338
3,-6.017223124658944,-0.7202848671277557,-0.23239612819449795
4,-0.948102054253384,-0.7416320375895171,-2.8518613549978005
5,-1.8667772968094907,-10.360028769648196,-0.7614244751224113
6,-0.6894637160387385,-0.8323351352302693,-1.1573595751837003
7,-3.9646868553821486,-0.5604107968756635,-1.1973893192110836
8,-0.4514436428458177,-0.17446907904370645,-1.7930808430440819
9,-0.833755565966465,-0.5839748283057917,-0.9651681498254376
